Destination,Prefix,Cost per Min,City Code
A.E.T.-Antarctica Casey Base,672,R10.63,12| 672
A.E.T.-Antarctica Davis Base,672,R10.63,10
A.E.T.-Antarctica Macquarie Base,672,R10.63,13
A.E.T.-Antarctica Mawson Base,672,R10.63,11
A.E.T.-Norfolk Is.,672,R12.29,3| 8
AFGHANISTAN,93,R2.64,
AFGHANISTAN-Kabul,93,R2.61,21| 22| 23| 24| 25| 26| 27| 28
AFGHANISTAN-Mobile Areeba,93,R2.98,77
AFGHANISTAN-Mobile ETISALAT,93,R2.95,78
AFGHANISTAN-Mobile Other,93,R2.47,70| 75
AFGHANISTAN-Mobile Roshan,93,R2.49,79
ALBANIA,355,R0.79,
ALBANIA-Mobile AMC,355,R2.83,68
ALBANIA-Mobile Other,355,R2.75,67
ALBANIA-Mobile Vodafone,355,R2.44,69
ALBANIA-Tirana fixed,355,R0.44,4
ALGERIA,213,R0.85,
ALGERIA-Algiers,213,R0.82,21
ALGERIA-Mobile Orascom,213,R3.58,77| 79
ALGERIA-Mobile Other,213,R1.29,66| 69| 9619
ALGERIA-Mobile Wataniya,213,R3.79,55| 56
AMERICAN SAMOA,1684,R0.61,
ANDORRA,376,R0.38,
ANDORRA-Mobile Other,376,R2.32,3| 4| 5| 6
ANGOLA,244,R1.49,
ANGOLA-Mobile Other,244,R1.63,91
ANGOLA-Mobile Unitel,244,R1.53,92| 93
ANGUILLA,1264,R1.19,
ANGUILLA-Mobile Anguilla Other,1264,R2.16,536| 537| 538| 539| 543
ANGUILLA-Mobile C and W Anguilla,1264,R2.47,235| 469| 476| 729| 772
ANGUILLA-Mobile Digicel Anguilla,1264,R2.25,581| 582| 583| 584
ANTIGUA,1268,R1.78,
ANTIGUA-Antigua Barbuda Mobile Other,1268,R1.78,72| 464| 732| 734| 736| 764| 770| 771| 772| 773| 774| 775| 776| 778| 779| 780| 781| 782| 783| 784| 785| 786| 788| 789
ARGENTINA,54,R0.32,
ARGENTINA-Bahia Blanca,54,R0.23,291
ARGENTINA-Buenos Aires,54,R0.20,11
ARGENTINA-Campana,54,R0.31,348
ARGENTINA-Cordoba,54,R0.27,351| 353| 358
ARGENTINA-Cordoba Other,54,R0.29,352| 354| 355| 356| 357| 3534
ARGENTINA-La Pampa,54,R0.23,230
ARGENTINA-La Plata,54,R0.22,221
ARGENTINA-Mar del Plata,54,R0.23,223
ARGENTINA-Mendoza,54,R0.23,261
ARGENTINA-Mobile Other,54,R1.44,9
ARGENTINA-Neuquen,54,R0.23,299
ARGENTINA-Pilar Lujan Mercedes,54,R0.42,232
ARGENTINA-Rosario,54,R0.23,341
ARGENTINA-Salta,54,R0.31,387
ARGENTINA-Santa Fe,54,R0.24,342
ARGENTINA-Tucuman,54,R0.23,381
ARMENIA,374,R1.25,
ARMENIA-Karabakh,374,R1.46,47
ARMENIA-Mobile K Telecom,374,R1.82,77| 93| 94| 98
ARMENIA-Mobile Other,374,R1.94,9| 55
ARMENIA-Yerevan,374,R1.22,10
ARUBA,297,R1.10,
ARUBA-Mobile Digicel Aruba,297,R2.38,73| 74
ARUBA-Mobile Mio,297,R2.52,600| 622
ARUBA-Mobile Other,297,R2.34,56| 59| 66| 69| 96| 99
ASCENSION IS.,247,R7.62,
AUSTRALIA,61,R0.34,
AUSTRALIA-Adelaide and Perth,61,R0.26,861| 862| 863| 864| 865| 871| 872| 873| 874| 881| 882| 883| 884| 892| 893| 894
AUSTRALIA-Cities,61,R0.27,28| 29| 38| 39| 73| 261| 262
AUSTRALIA-Mobile OPTUS,61,R1.21,401| 402| 403| 411| 412| 413| 421| 422| 423| 431| 432| 434| 435| 4660| 4661| 4662| 4663| 4664| 4665| 4666
AUSTRALIA-Mobile Other,61,R1.25,4| 14| 16
AUSTRALIA-Mobile Satellite,61,R22.87,145| 147| 14331
AUSTRALIA-Mobile TELSTRA,61,R1.21,400| 407| 408| 409| 417| 418| 419| 427| 428| 429| 437| 438| 439| 447| 448| 457| 458| 459| 488
